id,application_id,evaluator_id,documents_verified,adherence_metier,adherence_talent,adherence_paradigme,metier_notes,talent_notes,paradigme_notes,overall_score,completed,created_at,updated_at,cv_score,cv_comments,lettre_motivation_score,lettre_motivation_comments,diplomes_certificats_score,diplomes_certificats_comments,metier_score,metier_comments,talent_score,talent_comments,paradigme_score,paradigme_comments,interview_date,interview_metier_score,interview_metier_comments,interview_talent_score,interview_talent_comments,interview_paradigme_score,interview_paradigme_comments,gap_competence_score,gap_competence_comments,general_summary,documentary_score,mtp_score,interview_score,total_score,status,documentary_score_exact,mtp_score_exact,interview_score_exact,total_score_exact,overall_score_exact
fdfb6b63-99cf-4d35-97d9-cde0f97d4ac3,d74602df-5ecc-4ef2-be15-495ab29ff149,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,17,f,2025-09-02 16:30:14.85629+00,2025-09-02 17:29:27.94+00,2,Confusio,1,,5,,3,,3,,3,,,0,,0,,0,,0,,Retenu pour l'entretien.,53.00,60.00,0.00,17.00,in_progress,,,,,
4d9cae18-8d7f-4ede-839e-5e02f5c19b1e,b6e14b97-4e9e-40fa-9807-884874694708,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,13,f,2025-09-02 16:58:38.853769+00,2025-09-02 17:29:27.961+00,2,,1,,4,,2,,2,,2,,,0,,0,,0,,0,,Non retenu,47.00,40.00,0.00,13.00,in_progress,,,,,
c407c638-fe8e-4e48-90c1-26b983cf7b60,c8216b30-647b-481b-b8b6-b92e11b648c5,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,20,f,2025-09-02 16:24:17.098396+00,2025-09-02 17:29:27.946+00,4,,3,,5,,3,,3,,3,,,0,,0,,0,,0,,Retenu pour entretien,80.00,60.00,0.00,20.00,in_progress,,,,,
f8b4f345-f229-4c8e-be95-d3ae5421bc45,b68c70a4-ab32-4af9-bdc1-75f110b464b1,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,13,f,2025-09-02 15:42:39.620435+00,2025-09-02 17:29:27.915+00,3,,1,,3,,2,,2,,2,,,0,,0,,0,,0,,Elimin̩e.,47.00,40.00,0.00,13.00,in_progress,,,,,
a63060d5-7ca9-4d33-b72e-ca987929412b,4f63ad6c-2f85-4a5a-8f09-08f268bd28e7,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,17,f,2025-09-02 17:14:16.297875+00,2025-09-02 17:31:37.362+00,5,,2,,1,,3,,3,,3,,,0,,0,,0,,0,,Retenue.,53.00,60.00,0.00,17.00,in_progress,,,,,
b394cfb7-5db3-4f13-8a08-b882479a200f,a14bebb2-32dd-4975-a8d1-8e30f869a0ba,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,11,f,2025-09-02 15:48:31.900352+00,2025-09-02 17:29:27.908+00,1,,3,,1,,2,,2,,2,,,0,,0,,0,,0,,Elimin̩,33.00,40.00,0.00,11.00,in_progress,,,,,
fe1e7aab-96e6-4a9d-addc-9ef4a81c737f,2591d0a2-15bb-44db-87c8-b07913a24bf2,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,10,f,2025-09-02 16:06:24.773977+00,2025-09-02 17:29:27.897+00,1,,1,,1,Pas,2,,2,,2,,,0,,0,,0,,0,,Elimin̩.,20.00,40.00,0.00,10.00,in_progress,,,,,
51fa5b5d-9acb-403c-b05b-b9712c471b26,13673ffa-9aa7-4fea-9db8-061fe657a735,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,20,f,2025-09-02 16:11:18.89062+00,2025-09-02 17:29:27.928+00,5,,2,,5,,3,,3,,3,,,0,,0,,0,,0,,Retenue,80.00,60.00,0.00,20.00,in_progress,,,,,
1bc68366-f1c3-4295-b6a8-1dbf1ed20210,ed3e2013-ff0e-4594-b146-82dc420d5b3f,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,11,f,2025-09-02 15:53:42.800829+00,2025-09-02 17:29:27.902+00,2,,1,,1,,2,,2,,2,,,0,,0,,0,,0,,Elimin̩e,27.00,40.00,0.00,11.00,in_progress,,,,,
c480e8d0-bca0-4c24-931e-916c8384b61d,158ab85e-056c-4dd8-830b-ef5e4ded2288,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,0,f,2025-09-02 17:19:05.775809+00,2025-09-02 17:29:27.923+00,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,,0.00,0.00,0.00,0.00,pending,,,,,
c0a30382-e2dd-49fb-8d3e-f05f1ecf0205,e4c2f91c-c8d1-43d4-9fa4-8d881d0c161d,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,17,f,2025-09-02 14:28:21.227111+00,2025-09-02 17:29:27.923+00,4,Insister sur les r̩alisations pertinentes au cours de l'entr,4,Coh̩rent et,5,Coh̩renc,2,,2,,2,,,0,,0,,0,,0,,Retenu,87.00,40.00,0.00,17.00,in_progress,,,,,
80fd97f5-ef87-4b93-a187-6c8571bd92a3,28321185-4921-4001-8de1-c99c00cc238c,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,19,f,2025-09-02 16:41:44.739586+00,2025-09-02 17:29:27.936+00,5,,0,,5,,3,,3,,3,,,0,,0,,0,,0,,Retenue pour l'entretien.,67.00,60.00,0.00,19.00,in_progress,,,,,
e58b8348-b65a-43c3-bc96-0e4359dfa415,3352a238-5ecc-4362-8335-e3b764fbf388,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,20,f,2025-09-02 17:10:44.66552+00,2025-09-02 17:31:37.347+00,5,,3,,4,,3,,3,,3,,,0,,0,,0,,0,,Re,80.00,60.00,0.00,20.00,in_progress,,,,,
d4e39175-f09e-4257-9b62-917dd4d68f89,1b7a7c8c-1b3a-4a0c-935f-9a92f4b21d68,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,5,f,2025-09-02 17:06:34.668968+00,2025-09-02 17:31:37.324+00,3,,1,,4,,3,,3,,0,,,0,,0,,0,,0,,Retenue.,53.00,40.00,0.00,5.00,in_progress,,,,,
608c4d45-be3f-4604-ab3d-4f148b626fed,7c8590be-9138-4bf9-91a6-722d9cd19143,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,11,f,2025-09-02 15:56:48.435832+00,2025-09-02 17:29:27.895+00,3,,1,,1,,2,,2,,2,,,0,,0,,0,,0,,Elimin̩e,33.00,40.00,0.00,11.00,in_progress,,,,,
dc9158b6-694b-4819-b8f3-abfa0bc0ddc9,097bf3a7-a4ce-4265-a87a-266212016941,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,17,f,2025-09-02 16:15:10.498886+00,2025-09-02 22:12:28.625+00,3,c,1,,3,,3,,3,,3,,,0,,0,,0,,0,,Rtenue pour l'audit.,47.00,60.00,0.00,17.00,pending,,,,,
19b51bc6-fcb0-449a-8e95-6a391b70942d,5419b3b3-0be0-48ac-ad36-97b7aee3889d,ffad38a5-dca3-497c-a308-5a65a7eaee02,f,f,f,f,,,,13,f,2025-09-02 15:36:44.822202+00,2025-09-02 17:29:27.919+00,2,,2,,3,,2,,2,,2,,,0,,0,,0,,0,,Non,47.00,40.00,0.00,13.00,in_progress,,,,,


